Mass balance table: 2004
ELA: 1495.0 
AAR: 39.5 %
  Elev		      Area	      Bw	   bw	        Bs	   bs	       Bn	     bn
(m)	  (m)	      (m^2)	     (m^3)	(w.eq.)	   (m^3)	(w.eq.)	  (m^3)	  (w.eq.)
1140	 1160	     3.0	        3.1	 1.03	        9.5	 3.17	       -6.4	 -2.14
1160	 1180	     7.9	        7.8	 0.99	       24.9	 3.15	      -17.1	 -2.17
1180	 1200	    17.4	       17.1	 0.98	       54.2	 3.12	      -37.2	 -2.14
1200	 1220	    36.5	       37.9	 1.04	      110.7	 3.03	      -72.7	 -1.99
1220	 1240	    52.6	       58.1	 1.10	      150.7	 2.87	      -92.6	 -1.76
1240	 1260	    63.9	       63.1	 0.99	      173.1	 2.71	     -110.0	 -1.72
1260	 1280	    83.4	       68.0	 0.82	      219.2	 2.63	     -151.2	 -1.81
1280	 1300	    80.9	       98.3	 1.22	      196.3	 2.43	      -97.9	 -1.21
1300	 1320	    95.8	      113.1	 1.18	      220.3	 2.30	     -107.3	 -1.12
1320	 1340	   150.6	      141.6	 0.94	      328.0	 2.18	     -186.4	 -1.24
1340	 1360	   268.3	      253.4	 0.94	      530.4	 1.98	     -277.1	 -1.03
1360	 1380	   324.0	      346.6	 1.07	      604.9	 1.87	     -258.3	 -0.80
1380	 1400	   251.8	      280.6	 1.11	      459.2	 1.82	     -178.5	 -0.71
1400	 1420	   119.6	      164.1	 1.37	      214.1	 1.79	      -49.9	 -0.42
1420	 1440	    72.2	      100.2	 1.39	      125.8	 1.74	      -25.6	 -0.35
1440	 1460	    68.0	       81.7	 1.20	      119.3	 1.75	      -37.6	 -0.55
1460	 1480	    84.2	       91.3	 1.08	      141.7	 1.68	      -50.3	 -0.60
1480	 1500	   152.1	      194.7	 1.28	      226.6	 1.49	      -31.9	 -0.21
1500	 1520	   224.8	      440.9	 1.96	      297.1	 1.32	      143.8	 +0.64
1520	 1540	   106.8	      210.5	 1.97	      145.0	 1.36	       65.5	 +0.61
1540	 1560	    96.4	      177.8	 1.84	      125.0	 1.30	       52.9	 +0.55
1560	 1580	    80.2	      156.8	 1.96	       97.8	 1.22	       59.0	 +0.74
1580	 1600	   124.6	      244.2	 1.96	      138.1	 1.11	      106.1	 +0.85
1600	 1620	   123.1	      286.5	 2.33	      127.5	 1.04	      159.1	 +1.29
1620	 1640	   156.4	      423.3	 2.71	      153.5	 0.98	      269.7	 +1.72
1640	 1660	   148.7	      467.0	 3.14	      149.0	 1.00	      318.0	 +2.14
1660	 1680	   101.7	      330.1	 3.25	      103.8	 1.02	      226.3	 +2.23
1680	 1700	    70.1	      239.7	 3.42	       75.1	 1.07	      164.6	 +2.35
1700	 1720	    39.0	      134.9	 3.46	       40.4	 1.04	       94.6	 +2.42
1720	 1740	     7.2	       28.3	 3.93 	        7.0	 0.97	       21.3	 +2.96

1140	 1740	  3211.2	     5260.9	 1.64	     5368.1	 1.67	     -107.3	 -0.03
