Mass balance table: 2006
ELA: 1615.0 
AAR: 17.2 % 
  Elev		      Area	      Bw	   bw	        Bs	   bs	       Bn	     bn
(m)	  (m)	      (m^2)	     (m^3)	(w.eq.)	   (m^3)	(w.eq.)	  (m^3)	  (w.eq.)
1140	 1160	     3000	     3581.8	 1.19	    14996.8	 5.00	   -11415.0	 -3.81
1160	 1180	     7900	     8522.9	 1.08	    39321.0	 4.98	   -30798.1	 -3.90
1180	 1200	    17400	    14452.0	 0.83	    85439.5	 4.91	   -70987.5	 -4.08
1200	 1220	    36500	    23587.3	 0.65	   173892.8	 4.76	  -150305.5	 -4.12
1220	 1240	    52600	    33689.6	 0.64	   236786.7	 4.50	  -203097.1	 -3.86
1240	 1260	    63900	    37491.7	 0.59	   270900.3	 4.24	  -233408.6	 -3.65
1260	 1280	    83400	    39279.6	 0.47	   331631.1	 3.98	  -292351.5	 -3.51
1280	 1300	    80900	    47881.4	 0.59	   315107.7	 3.90	  -267226.3	 -3.30
1300	 1320	    95800	    59671.1	 0.62	   360464.4	 3.76	  -300793.2	 -3.14
1320	 1340	   150600	    71419.0	 0.47	   525553.0	 3.49	  -454134.0	 -3.02
1340	 1360	   268300	   125463.3	 0.47	   900501.5	 3.36	  -775038.2	 -2.89
1360	 1380	   324000	   180639.8	 0.56	  1032156.5	 3.19	  -851516.7	 -2.63
1380	 1400	   251800	   151678.2	 0.60	   827682.6	 3.29	  -676004.4	 -2.68
1400	 1420	   119600	    88652.2	 0.74	   383479.2	 3.21	  -294827.0	 -2.47
1420	 1440	    72200	    63211.2	 0.88	   223174.1	 3.09	  -159962.8	 -2.22
1440	 1460	    68000	    54160.0	 0.80	   210138.0	 3.09	  -155978.0	 -2.29
1460	 1480	    84200	    61446.5	 0.73	   260459.5	 3.09	  -199013.0	 -2.36
1480	 1500	   152100	   135344.2	 0.89	   433088.7	 2.85	  -297744.4	 -1.96
1500	 1520	   224800	   268333.2	 1.19	   538860.5	 2.40	  -270527.3	 -1.20
1520	 1540	   106800	   124351.8	 1.16	   252907.1	 2.37	  -128555.2	 -1.20
1540	 1560	    96400	   103575.1	 1.07	   223735.9	 2.32	  -120160.7	 -1.25
1560	 1580	    80200	    92182.1	 1.15	   178829.9	 2.23	   -86647.8	 -1.08
1580	 1600	   124600	   165952.1	 1.33	   236241.7	 1.90	   -70289.6	 -0.56
1600	 1620	   123100	   196747.6	 1.60	   205251.4	 1.67	    -8503.8	 -0.07
1620	 1640	   156400	   311017.6	 1.99	   232519.2	 1.49	    78498.5	 +0.50
1640	 1660	   148700	   424004.4	 2.85	   219288.8	 1.47	   204715.6	 +1.38
1660	 1680	   101700	   298842.8	 2.94	   158534.5	 1.56	   140308.3	 +1.38
1680	 1700	    70100	   202068.3	 2.88	   117338.3	 1.67	    84730.0	 +1.21
1700	 1720	    39000	   123294.8	 3.16	    61093.3	 1.57	    62201.6	 +1.59
1720	 1740	     7200	    32617.2	 4.53	     9054.4	 1.26	    23562.8	 +3.27

1140	 1740	  3211200	  3543158.9	 1.10	  9058428.4	 2.82	 -5515269.5	 -1.72
