year,ELA,db/dz(abla)_mean,R2,db/dz(abla)_diff,R2,db/dz(abla)_reg,R2,db/dz(accu)_mean,R2,db/dz(accu)_diff,R2,db/dz(accu)_reg,R2,Head elevation,db/dz(accu),r²,db/dz(abla),r²
1959.0,1560.0,0.53,0.58,0.65,0.69,0.72,0.92,0.81,0.88,0.72,0.84,0.8,0.82,1740.0,0.53,0.95,0.81,0.99
1960.0,1560.0,0.53,0.58,0.65,0.69,0.72,0.92,0.81,0.88,0.72,0.84,0.8,0.82,1740.0,0.757,0.95,0.907,0.99
1961.0,1575.0,0.72,0.89,0.7,0.54,0.645,0.91,0.57,0.83,0.43,0.54,0.458,-0.6,1740.0,0.72,0.95,0.57,0.92
1962.0,1362.0,1.56,0.39,0.44,0.61,0.486,0.79,0.41,0.75,0.54,0.86,0.569,0.91,1740.0,1.56,0.8,0.41,0.94
1963.0,1362.0,1.56,0.39,0.44,0.61,0.486,0.79,0.41,0.75,0.54,0.86,0.569,0.91,1740.0,0.757,0.8,0.907,0.94
1964.0,1379.0,1.01,0.49,0.3,0.1,0.589,-2.04,0.58,0.49,0.5,0.47,0.707,0.77,1740.0,1.01,0.67,0.58,0.94
1965.0,1379.0,1.2,0.43,0.38,0.12,0.6,-24.33,0.69,0.48,0.79,0.87,0.889,0.93,1720.0,1.2,0.43,0.69,0.94
1966.0,1510.0,0.72,0.84,0.65,0.72,0.82,0.9,0.7,0.81,0.68,0.78,0.794,0.9,1720.0,0.72,0.99,0.7,0.96
1967.0,1448.0,0.83,0.49,0.22,0.04,0.512,-0.87,0.41,0.31,0.69,0.81,0.685,0.87,1720.0,0.83,0.92,0.41,0.96
1968.0,1467.0,1.05,0.55,0.37,0.2,0.611,-0.02,0.56,0.59,0.58,0.74,0.689,0.89,1720.0,1.05,0.87,0.56,0.94
1969.0,1528.0,1.15,0.57,0.36,0.1,0.713,-0.06,0.41,0.21,0.75,0.67,0.788,0.81,1720.0,1.15,0.95,0.41,0.95
1970.0,1586.0,1.38,0.58,0.56,0.59,0.803,0.61,0.44,0.24,0.56,0.59,0.585,0.65,1720.0,1.38,0.92,0.44,0.67
1971.0,1471.0,0.76,0.7,0.34,0.41,0.567,0.62,0.45,0.56,0.37,0.51,0.498,0.78,1720.0,0.76,0.89,0.45,0.89
1972.0,1561.0,0.67,0.56,0.45,0.19,0.835,0.58,0.79,0.7,0.64,0.54,0.766,0.21,1720.0,0.67,0.93,0.79,0.78
1973.0,1413.0,1.14,0.31,-0.04,0.0,0.394,-1.71,0.46,0.2,0.68,0.66,0.766,0.8,1720.0,1.14,0.8,0.46,0.9
1974.0,1473.0,0.76,0.58,0.2,0.08,0.543,-0.04,0.55,0.56,0.39,0.56,0.5,0.62,1720.0,0.76,0.92,0.55,0.81
1975.0,1274.0,0.64,0.1,-0.61,0.05,-0.265,0.21,0.54,0.08,0.68,0.83,0.763,0.92,1800.0,0.64,0.89,0.54,0.96
1976.0,1399.0,1.14,0.46,0.26,0.04,0.682,-2.11,0.74,0.45,0.7,0.6,0.901,0.83,1800.0,1.14,0.81,0.74,0.93
1977.0,1398.0,0.64,0.6,0.24,0.13,0.448,-0.5,0.45,0.6,0.45,0.77,0.532,0.88,1800.0,0.64,0.85,0.45,0.94
1978.0,1443.0,0.89,0.73,0.44,0.31,0.681,0.49,0.79,0.77,0.54,0.56,0.707,0.66,1800.0,0.89,0.96,0.79,0.98
1979.0,1450.0,1.02,0.62,0.42,0.17,0.724,0.02,0.69,0.61,0.65,0.62,0.835,0.85,1800.0,1.02,0.96,0.69,0.96
1980.0,1595.0,0.67,0.76,0.43,0.36,0.678,0.64,0.79,0.77,0.46,0.43,0.632,-0.14,1800.0,0.67,0.97,0.79,0.87
1981.0,1500.0,0.55,0.65,0.21,0.02,0.428,0.16,0.78,0.5,0.75,0.75,0.884,0.88,1720.0,0.55,0.85,0.78,0.95
1982.0,1420.0,0.69,0.5,0.18,0.01,0.435,-1.76,0.79,0.46,0.78,0.88,0.832,0.89,1720.0,0.69,0.79,0.79,0.91
1983.0,1402.0,0.31,0.12,0.32,0.07,0.59,-1.01,0.78,0.52,0.8,0.94,0.837,0.95,1720.0,0.31,0.81,0.78,0.96
1984.0,1472.0,0.69,0.48,0.14,0.0,0.494,-0.33,1.52,0.35,1.29,0.85,1.319,0.69,1720.0,0.69,0.79,1.52,0.9
1985.0,1570.0,0.55,0.81,0.41,0.01,0.593,0.81,2.38,0.32,1.1,0.07,1.641,-0.45,1720.0,0.55,0.96,2.38,0.32
1986.0,1430.0,1.25,0.55,0.42,0.12,0.749,-1.07,0.45,0.22,0.76,0.58,0.891,0.8,1720.0,1.25,0.83,0.45,0.93
1987.0,1410.0,0.03,0.0,0.09,0.0,0.226,-0.09,0.89,0.32,0.93,0.83,0.802,0.82,1720.0,0.03,0.62,0.89,0.85
