year "dV_obs [10⁶ m³]" "dV_simu [10⁶ m³]" "S_obs [km²]" "S_simu [km²]" "Ba_obs [m.w.e]" "Ba_simu [m.w.e]" "diff_S [km²]"
1959.0 -2.6109614999999997 0.0 3.3964 0.0 -0.77 0.0 0.0
1961.0 -2.6709183 0.0 3.3764 0.0 -0.79 0.0 0.0
1962.0 1.4333452 0.0 3.3764 0.0 0.42 0.0 0.0
1964.0 1.4624225 0.0 3.3764 0.0 0.43 0.0 0.0
1965.0 1.6008004999999998 0.0 3.214 0.0 0.5 0.0 0.0
1966.0 -1.7707883 0.0 3.214 0.0 -0.55 0.0 0.0
1967.0 -0.5622961999999999 0.0 3.214 0.0 -0.17 0.0 0.0
1968.0 -0.7861084 0.0 3.214 0.0 -0.24 0.0 0.0
1969.0 -2.8672044999999997 0.0 3.214 0.0 -0.89 0.0 0.0
1970.0 -4.398896099999999 0.0 3.214 0.0 -1.37 0.0 0.0
1971.0 -0.5820841 0.0 3.214 0.0 -0.18 0.0 0.0
1972.0 -3.8766949 0.0 3.0936 0.0 -1.25 0.0 0.0
1973.0 0.27610629999999997 0.0 3.214 0.0 0.09 0.0 0.0
1974.0 -0.8498401999999999 0.0 3.214 0.0 -0.26 0.0 0.0
1975.0 3.8780824999999997 0.0 3.1488 0.0 1.23 0.0 0.0
1976.0 1.1098947 0.0 3.1488 0.0 0.35 0.0 0.0
1977.0 0.7528809999999999 0.0 3.1488 0.0 0.24 0.0 0.0
1978.0 -0.0434371 0.0 3.1488 0.0 -0.01 0.0 0.0
1979.0 -0.4907775 0.0 3.1488 0.0 -0.16 0.0 0.0
1980.0 -3.863952 0.0 3.1488 0.0 -1.23 0.0 0.0
1981.0 -0.28667549999999997 0.0 3.1488 0.0 -0.09 0.0 0.0
1982.0 0.9468380999999999 0.0 3.1488 0.0 0.3 0.0 0.0
1983.0 0.7320106 0.0 3.1488 0.0 0.23 0.0 0.0
1984.0 -0.6082247 0.0 3.1488 0.0 -0.19 0.0 0.0
1985.0 -2.0693384 0.0 3.2239999999999998 0.0 -0.64 0.0 0.0
1986.0 -0.0146276 0.0 3.2239999999999998 0.0 -0.0 0.0 0.0
1987.0 1.6220757 0.0 3.2239999999999998 0.0 0.5 0.0 0.0
1988.0 -2.9014659999999997 0.0 3.2239999999999998 0.0 -0.9 0.0 0.0
1989.0 4.022162499999999 0.0 3.2239999999999998 0.0 1.25 0.0 0.0
1990.0 1.7825311 0.0 3.2239999999999998 0.0 0.55 0.0 0.0
1991.0 0.4090614 0.0 3.2239999999999998 0.0 0.13 0.0 0.0
1992.0 2.8973435 0.0 3.2239999999999998 0.0 0.9 0.0 0.0
1993.0 -0.3027019 0.0 3.2123999999999997 0.0 -0.09 0.0 0.0
1994.0 -1.1331651 0.0 3.2239999999999998 0.0 -0.35 0.0 0.0
1995.0 -0.0839486 0.0 3.2123999999999997 0.0 -0.03 0.0 0.0
1996.0 -1.2426503 0.0 3.2123999999999997 0.0 -0.39 0.0 0.0
1997.0 -1.5153922 0.0 3.2123999999999997 0.0 -0.47 0.0 0.0
1998.0 -1.7538748 0.0 3.2123999999999997 0.0 -0.55 0.0 0.0
1999.0 -0.6673650999999999 0.0 3.2123999999999997 0.0 -0.21 0.0 0.0
2000.0 0.3434565 0.0 3.2123999999999997 0.0 0.11 0.0 0.0
2001.0 -2.3570146 0.0 3.2123999999999997 0.0 -0.73 0.0 0.0
2002.0 -2.6757153999999996 0.0 3.2123999999999997 0.0 -0.83 0.0 0.0
2003.0 -3.3258312999999995 0.0 3.2123999999999997 0.0 -1.04 0.0 0.0
2004.0 -0.00010729999999999999 0.0 0.0032111999999999996 0.0 -0.03 0.0 0.0
2005.0 -0.130056 0.0 3.2112 0.0 -0.04 0.0 0.0
2006.0 -5.5152695 0.0 3.2112 0.0 -1.72 0.0 0.0
2007.0 1.3305303 0.0 3.2112 0.0 0.41 0.0 0.0
2008.0 1.8732608999999998 0.0 3.2112 0.0 0.58 0.0 0.0
2009.0 -1.714897 0.0 3.2112 0.0 -0.53 0.0 0.0
2010.0 -2.2058166 0.0 3.2112 0.0 -0.69 0.0 0.0
2011.0 -3.3897410999999997 0.0 3.2112 0.0 -1.06 0.0 0.0
